voltageLevelId;xPosition;yPosition;xLabelPosition;yLabelPosition
.A.ZA 6;176187;-1524509;176187;-1524508
.ABAD 6;76393;-1700247;71982;-1704028
.ABAN 7;-6050;-1835046;-13010;-1837467
.ABRE 6;360225;-1603651;353523;-1596710
.ACE  6;-15225;-1809305;-15225;-1809305
.ACHE 7;797189;-2590253;802426;-2585538
.ADRL 6;409052;-1654778;409052;-1654778
.AGUA 6;-164198;-1758440;-164198;-1758439
.AGUA 7;-156889;-1773813;-156889;-1773813
.ALBL 6;-53676;-1389027;-53676;-1389027
.ALBT 6;256334;-1505222;256334;-1505221
.ALGR 7;952063;-2657695;952063;-2657695
.ALII 6;26083;-1673529;26083;-1673529
.AMOR 7;99914;-1796067;108380;-1789158
.ANCH 7;-52342;-1389027;-52342;-1389027
.ANDU 7;875523;-2673707;874397;-2675771
.ANGL 7;397824;-2517825;397824;-2517825
.ANOI 6;431814;-1591676;431814;-1591676
.ARAG 7;237008;-1466085;246208;-1453921
.ARCHP4;274439;-2525240;265898;-2522670
.ARKA 6;177775;-1806833;168226;-1804964
.ASCO 7;340048;-1531147;325751;-1530758
.ASPH 7;1083876;-2243291;1100806;-2238839
.AUBA 6;875720;-2536657;866783;-2550580
.AUBA 7;892778;-2584277;883309;-2591129
.AUBS 6;316937;-1486181;316937;-1486181
.AVEL 7;720018;-2670115;736640;-2670300
.AVIS 6;1012982;-2064122;1006751;-2056702
.AYAL 6;-58596;-1734412;-58596;-1734413
.AYOR 7;-53592;-1389027;-53592;-1389027
.AZPE 7;136699;-1812051;134664;-1815150
.BA.O 6;951770;-2122782;957809;-2114953
.BABC 6;-15225;-1809305;-15225;-1809305
.BAGG 7;1124095;-2037964;1138729;-2024186
.BASA 6;51706;-1711229;51706;-1711229
.BASS 7;997904;-2194760;985947;-2183326
.BAST 6;874470;-2536657;874470;-2536657
.BATI 7;999179;-2109218;999179;-2109218
.BAUL 6;978305;-2578169;976731;-2583180
.BECH 6;129940;-1347018;129940;-1347018
.BEGU 6;507373;-1546233;507373;-1546233
.BEGU 7;509770;-1539865;516427;-1537001
.BELI 7;-52342;-1389027;-52342;-1389027
.BENE 6;-53592;-1389027;-53592;-1389027
.BENE 7;-53592;-1389027;-53592;-1389027
.BENI 6;-54259;-1389027;-54259;-1389027
.BENK 7;1161117;-2181495;1160021;-2183897
.BENOP5;380578;-1689808;384371;-1687116
.BERC 6;941985;-2535414;946508;-2539925
.BERT 6;903892;-2550463;906220;-2556542
.BESC 6;572879;-1606936;572879;-1606936
.BESC 7;588624;-1603919;600937;-1599610
.BEZN 6;1120536;-2262927;1120536;-2262927
.BEZN 7;1174286;-2273199;1179828;-2262983
.BICK 6;1054792;-2181195;1059442;-2165920
.BICK 7;1046717;-2194807;1057806;-2189855
.BIES 6;300182;-1700724;288568;-1699766
.BIRR 6;1120036;-2262927;1120036;-2262927
.BLOO 6;984285;-2530798;989383;-2523239
.BONA 7;1229391;-2205696;1224917;-2195705
.BORS 7;783811;-2762320;780074;-2770242
.BOT5 6;1001838;-2141624;1006849;-2135053
.BOVI 7;1159048;-2093036;1171088;-2098747
.BOXM 7;931303;-2814791;931303;-2814791
.BRAU 7;1044047;-2693258;1044047;-2693258
.BREI 7;1189485;-2257478;1196389;-2259486
.BREU 7;834398;-2852154;834398;-2852154
.BRUC 7;1236777;-2394533;1236777;-2394533
.BRUE 7;854167;-2702672;852680;-2706388
.BRUG 7;1158548;-2093036;1158548;-2093036
.BRUM 6;897585;-2616899;897585;-2616899
.BRUM 7;898085;-2616899;906394;-2605107
.BUHL 6;1180842;-2370003;1171811;-2370899
.BULC 7;1185612;-2131506;1173567;-2134715
.BURS 7;1259464;-2544961;1249761;-2555468
.C.CH 6;1101879;-2112235;1111289;-2109635
.C.CH 7;1059995;-2149692;1059995;-2149692
.C.JA 6;587164;-1576668;605472;-1577724
.C.JA 7;576560;-1566773;587758;-1558375
.C.NU 7;1111460;-1975768;1123224;-1980267
.CAGN 7;1139185;-2109090;1146607;-2102720
.CAM5 6;1013543;-1868009;1012627;-1872916
.CAMP 6;1003427;-1855981;996741;-1856913
.CANY 6;584336;-1591193;584336;-1591193
.CART 6;145265;-1509048;145265;-1509048
.CASA 6;1091878;-1945258;1091878;-1945258
.CASA 7;1071841;-1946438;1082142;-1945454
.CASE 7;1123095;-2037964;1123095;-2037964
.CATA 6;-53592;-1389027;-53592;-1389027
.CATA 7;-53592;-1389027;-53592;-1389027
.CENT 6;444870;-1629112;444870;-1629112
.CERC 6;430063;-1646376;430063;-1646376
.CHA6 6;1086659;-2103059;1086659;-2094493
.CHAM 6;1066492;-2104163;1074220;-2093950
.CHAM 7;1066634;-2127135;1074333;-2127393
.CHAT 6;1041006;-2064381;1046438;-2065689
.CHER 7;506588;-2577074;506588;-2577074
.CHIA 7;1217642;-2101984;1217642;-2101984
.CHIG 7;1123095;-2037964;1123095;-2037964
.CHIL 7;398324;-2517825;398324;-2517825
.CHIV 7;1061321;-1988016;1067984;-1990918
.CILL 6;-118047;-1772561;-118047;-1772561
.CISE 7;1140071;-2065500;1140071;-2065500
.CISL 7;1139159;-2095069;1132049;-2085163
.CODO 6;600188;-1589894;600188;-1589895
.COFR 7;-53092;-1389027;-53092;-1389027
.COGN 6;1026443;-2058055;1026443;-2058055
.COO  7;928633;-2618071;928633;-2618071
.CORD 6;228695;-1711663;233341;-1714979
.COST 6;385504;-1514744;385504;-1514745
.CPIO 7;871571;-2662644;864241;-2664559
.CRAN 6;939707;-2123538;937377;-2125407
.CSJO 7;172345;-1641780;179175;-1625261
